term	reading	frequency	kana_frequency
くばる	くばる	40192	
かぼそい	かぼそい	40193	
ばあい	ばあい	40194	
いちめん	いちめん	40195	
やることなすこと	やることなすこと	40196	
なぎさ	なぎさ	40197	
おっぱじめる	おっぱじめる	40198	
ニラ	ニラ	40199	
仮り	かり	40200	
あき	あき	40201	
陣痛	じんつう	40202	
くける	くける	40203	
散髪	さんぱつ	40204	165396
忘れっぽい	わすれっぽい	40205	191046
アナスタシア	アナスタシア	40206	
南無阿弥陀仏	なむあみだぶつ	40207	72179
監視者	かんししゃ	40208	
畝	うね	40209	42600
練習相手	れんしゅうあいて	40210	
前任	ぜんにん	40211	
安全運転	あんぜんうんてん	40212	
真偽を確かめる	しんぎをたしかめる	40213	
腕が上がる	うでがあがる	40214	
当たり散らす	あたりちらす	40215	125233
水道管	すいどうかん	40216	
栄養剤	えいようざい	40217	300358
黒山	くろやま	40218	314901
招聘	しょうへい	40219	186852
蹴倒す	けたおす	40220	190837
手段を講じる	しゅだんをこうじる	40221	279032
神経を使う	しんけいをつかう	40222	
純一	じゅんいつ	40223	257986
聖教	せいきょう	40224	
凡そ	およそ	40225	2735
船出	ふなで	40226	199790
ぱぱっと	ぱぱっと	40227	
身を立てる	みをたてる	40228	
ぽつ	ぽつ	40229	
門外漢	もんがいかん	40230	
模様替え	もようがえ	40231	215761
即戦力	そくせんりょく	40232	
マフィン	マフィン	40233	
医大	いだい	40234	
アラート	アラート	40235	
眺望	ちょうぼう	40236	121253
ヘレン	ヘレン	40237	
バイパス	バイパス	40238	
心配を掛ける	しんぱいをかける	40239	
きめ細やか	きめこまやか	40240	150159
有人	ゆうじん	40241	
酒杯	しゅはい	40242	198587
答弁	とうべん	40243	
グロ	グロ	40244	
充電器	じゅうでんき	40245	248082
心温まる	こころあたたまる	40246	
地下に潜る	ちかにもぐる	40247	
空気読めない	くうきよめない	40248	
係る	かかる	40249	
事務長	じむちょう	40250	
引ったくる	ひったくる	40251	18790
足音を忍ばせて	あしおとをしのばせて	40252	
琴線に触れる	きんせんにふれる	40253	
アッシュ	アッシュ	40254	
パチ	パチ	40255	
一兵卒	いっぺいそつ	40256	264505
表側	おもてがわ	40257	200616
